cliente,vendedor,unidade,mes,produto,status,marca,tipo_pagamento,tipo_frete,prazo,valor_total
Manuella Martins,Clarice da Luz,Borges da Praia,2025-02,Arroz Extra 500g,Entregue,SmartAgro,Prazo,CIF,de 61 à 120,"3719,758"
Lavínia Gonçalves,Melina da Cunha,Moura Paulista,2025-02,Café Natural 25kg,A Entregar,NovaTech,Prazo,CIF,até 30,"54183,98"
Sra. Agatha Costa,Sra. Luana da Paz,Fogaça das Pedras,2025-02,Óleo Vegetal Natural 25kg,Entregue,SmartAgro,Prazo,CIF,mais que 180,"3929,745"
Clarice Araújo,Isabella Rocha,Cavalcanti do Campo,2025-02,Herbicida Orgânico 10kg,Novo,VittaMais,Prazo,CIF,mais que 180,"18766,781"
Helena Caldeira,Yuri Freitas,da Cruz das Flores,2025-02,Fertilizante Tradicional 20kg,Aprovado,SkyMarket,,,,"0,136"
Maysa Moura,Sra. Mariana da Mata,Mendes,2025-02,Fertilizante Especial 10kg,Aprovado,PrimeFood,,,,"0,339"
Srta. Heloisa da Rosa,Clara Borges,Andrade,2025-02,Ração Extra 1L,Aprovado,SmartAgro,,,,"0,051"
Luiz Fernando Jesus,Sra. Ísis Lima,da Rocha,2025-02,Ração Fortificado 5L,Aprovado,SkyMarket,,,,"0,459"
Bernardo Costela,Sra. Alana Rodrigues,Gonçalves da Prata,2025-02,Arroz Extra 20kg,Aprovado,VittaMais,,,,"1,42"
Sra. Ana Liz Alves,Ana Júlia Marques,Almeida,2025-02,Suplemento Natural 25kg,Aprovado,BioVida,,,,"0,515"
Henrique Costa,Dra. Natália Albuquerque,Costa,2025-02,Adubo Refinado 500g,Aprovado,BlueFarm,,,,"1,719"
Arthur Alves,Manuela Cardoso,Santos do Oeste,2025-02,Farinha Tradicional 10kg,Aprovado,AgroPlus,,,,"0,947"
Antônio Vargas,Cauã Vasconcelos,Garcia,2025-02,Arroz Orgânico 10kg,Aprovado,BioVida,,,,"0,654"
Francisco Martins,Isabelly Pacheco,Novaes,2025-02,Produto Orgânico Fortificado 1L,Aprovado,SkyMarket,,,,"0,218"
Mariana Pacheco,Valentina Silva,Sá,2025-02,Ração Natural 1L,Aprovado,SmartAgro,,,,"1,778"
Emanuelly Cirino,Renan da Luz,Costa de Borges,2025-02,Feijão Select 1kg,Aprovado,AgroPlus,,,,"1,282"
Lívia Duarte,Cecilia Alves,da Mota,2025-02,Açúcar Refinado 1kg,Aprovado,PrimeFood,,,,"0,367"
Mathias Rocha,Theodoro Porto,Monteiro das Flores,2025-02,Suplemento Refinado 500g,Aprovado,EcoLine,,,,"746,108"
Pietro Lima,Bruno Gonçalves,Mendonça,2025-02,Feijão Orgânico 500g,Aprovado,BlueFarm,,,,"1,722"
Isabelly Guerra,Dra. Amanda da Conceição,Pimenta de Albuquerque,2025-02,Feijão Integral 1L,Aprovado,SkyMarket,,,,"0,016"
Sarah Nunes,Emanuelly Fogaça,Costela do Sul,2025-02,Semente Orgânico 5L,Aprovado,EcoLine,,,,"0,991"
Josué Ramos,João Gabriel Ferreira,Moraes,2025-02,Inseticida Orgânico 250ml,Aprovado,TerraForte,,,,"2,248"
Luan Campos,Lucca da Rocha,Ribeiro de Vargas,2025-02,Inseticida Premium 1kg,Aprovado,BlueFarm,,,,"1,408"
Ana Clara Costa,Sra. Heloisa Mendes,Sales,2025-02,Ração Natural 5L,Entregue,EcoLine,Prazo,CIF,de 61 à 120,"1601,146"
Anthony Gabriel Silva,Dra. Zoe Lima,da Rosa,2025-02,Óleo Vegetal Select 1kg,Entregue,SmartAgro,Prazo,CIF,até 30,"21654,843"
Stella Garcia,Ana Clara da Rosa,Fogaça do Sul,2025-02,Herbicida Refinado 500g,Entregue,BlueFarm,Prazo,CIF,de 31 à 60,"10349,328"
João Pacheco,Liz Jesus,Martins Grande,2025-02,Arroz Orgânico 10kg,Novo,BlueFarm,Prazo,CIF,mais que 180,"12025,478"
Ana Júlia Costa,Maria Luísa Ramos,Casa Grande,2025-02,Arroz Refinado 1kg,Aprovado,PrimeFood,,,,"4,59"
Júlia Camargo,Dr. Nicolas Novaes,Souza,2025-02,Milho Refinado 10kg,Aprovado,BioVida,,,,"1,492"
Luiz Felipe Vieira,Luiz Miguel Fogaça,Fernandes,2025-02,Farinha Natural 250ml,Aprovado,EcoLine,,,,"0,826"
Dr. Arthur Miguel Rocha,Dr. Cauê Pimenta,Cunha,2025-02,Herbicida Tradicional 20kg,Aprovado,NovaTech,,,,"1,012"
Eloah Pereira,Ana Carolina Caldeira,Peixoto da Mata,2025-02,Inseticida Orgânico 20kg,Aprovado,SkyMarket,,,,"0,257"
Agatha Cirino,Kevin Silveira,Oliveira,2025-02,Adubo Natural 5L,Aprovado,VittaMais,,,,"0,508"
Ana Laura Vasconcelos,Joaquim Rezende,Albuquerque,2025-02,Semente Integral 1L,Aprovado,BlueFarm,,,,"0,218"
Vinícius Silveira,Ana Clara Sampaio,Fernandes dos Dourados,2025-02,Farinha Natural 20kg,Entregue,SmartAgro,Prazo,CIF,mais que 180,"24373,416"
Joana Correia,João Vitor Jesus,Novaes dos Dourados,2025-02,Produto Orgânico Fortificado 5L,Cancelado,TerraForte,,,,"0,573"
Ester Monteiro,Ana Cecília Garcia,Casa Grande Verde,2025-02,Produto Orgânico Select 10kg,Cancelado,EcoLine,,,,"0,033"
Marcela das Neves,Alana Sampaio,Teixeira Verde,2025-02,Fertilizante Extra 5L,Cancelado,BlueFarm,,,,"0,513"
Arthur Rios,Josué Moraes,Fernandes,2025-02,Produto Orgânico Extra 20kg,Cancelado,EcoLine,,,,"0,096"
Rebeca Marques,Ana Laura Silveira,Rocha,2025-02,Herbicida Integral 1kg,Cancelado,SkyMarket,,,,"0,05"
Sra. Raquel Azevedo,Thales Lopes,Pereira,2025-02,Ração Premium 25kg,Entregue,EcoLine,Prazo,CIF,mais que 180,"7981,611"
Sr. Pedro Miguel Jesus,Antony Mendonça,Monteiro do Galho,2025-02,Óleo Vegetal Extra 500g,Entregue,SmartAgro,Prazo,CIF,até 30,"3402,904"
Alice Viana,Ayla Farias,Monteiro,2025-02,Óleo Vegetal Premium 25kg,Entregue,PrimeFood,Prazo,CIF,até 30,"10394,325"
Isabela Souza,Maria Cunha,Pereira de Pereira,2025-04,Açúcar Orgânico 20kg,Entregue,SmartAgro,Prazo,CIF,até 30,"19423,738"
Sra. Maria Fernanda Macedo,Luiz Felipe Moura,Borges de Sampaio,2025-04,Fertilizante Natural 20kg,Entregue,PrimeFood,Pagamento à vista,CIF,até 30,"828,321"
Pietro Machado,Daniela da Rocha,Vasconcelos de Lima,2025-04,Soja Especial 1kg,Entregue,SkyMarket,Prazo,CIF,de 31 à 60,"11211,772"
Daniela Leão,Emanuelly Rios,Pinto,2025-05,Farinha Orgânico 250ml,A Entregar,VittaMais,Prazo,FOB,mais que 180,"17115,201"
Srta. Joana Nogueira,Vitor Gabriel Macedo,Caldeira,2025-02,Feijão Orgânico 250ml,Entregue,VittaMais,Prazo,CIF,de 31 à 60,"3648,513"
Ana Laura Casa Grande,Sra. Larissa Marques,Teixeira da Praia,2025-02,Adubo Orgânico 20kg,Aprovado,AgroPlus,,,,"0,007"
Sr. José Costa,Isis Gomes,Garcia de Pereira,2025-02,Milho Extra 1L,Aprovado,NovaTech,,,,"0,355"
Gabriel Moura,Liam Cavalcante,Teixeira,2025-02,Milho Fortificado 1L,Entregue,BlueFarm,Pagamento parcelado,CIF,de 31 à 60,"1501,702"
Sra. Valentina Lima,Théo Vasconcelos,Rocha Paulista,2025-03,Suplemento Especial 20kg,Aprovado,PrimeFood,,,,"466,563"
Dr. Pedro Pastor,Marcelo Nascimento,da Cunha Verde,2025-02,Produto Orgânico Select 5L,Entregue,PrimeFood,Barter,CIF,mais que 180,"8521,434"
Esther Araújo,Sofia Machado,Nunes,2025-02,Inseticida Premium 1kg,Entregue,SkyMarket,Prazo,CIF,mais que 180,"2546,085"
Sr. Arthur Miguel Pires,Dr. Calebe Silva,Casa Grande dos Dourados,2025-02,Milho Select 500g,Entregue,NovaTech,Prazo,CIF,mais que 180,"64683,298"
Apollo Nogueira,Pedro Lucas Almeida,Cassiano dos Dourados,2025-02,Café Premium 20kg,Cancelado,BlueFarm,,,,"0,287"
Helena Machado,Luiza Cirino,Borges,2025-02,Arroz Orgânico 250ml,Cancelado,TerraForte,,,,"0,016"
Beatriz Pinto,Esther da Cruz,Pastor,2025-02,Farinha Orgânico 250ml,Cancelado,SmartAgro,,,,"0,212"
João Felipe Cirino,Nicole Jesus,Nascimento de Siqueira,2025-02,Feijão Natural 10kg,Cancelado,NovaTech,,,,"0,037"
Luara Campos,Maria Isis Melo,Pereira,2025-02,Café Refinado 1kg,Cancelado,SmartAgro,,,,"0,013"
Oliver da Conceição,Ana Laura Carvalho,da Cunha dos Dourados,2025-02,Milho Fortificado 1L,Cancelado,TerraForte,,,,"0,174"
Sra. Mariah Oliveira,Vitor Vasconcelos,Sousa dos Dourados,2025-02,Semente Premium 5L,Cancelado,SmartAgro,,,,"0,337"
Sr. João Gabriel Pastor,Dr. Luiz Felipe Leão,Freitas de Minas,2025-02,Inseticida Integral 20kg,Cancelado,PrimeFood,,,,"0,149"
Daniela Brito,Ágatha Nunes,Peixoto,2025-02,Adubo Integral 250ml,Cancelado,BioVida,,,,"0,287"
Sra. Ana Cecília Pereira,Luana Costela,Novaes da Mata,2025-02,Adubo Select 20kg,Cancelado,AgroPlus,,,,"0,016"
Luana Sampaio,Marina Pacheco,Cassiano,2025-02,Ração Select 25kg,Cancelado,BioVida,,,,"0,212"
Maria Liz Pinto,Lucas da Mota,Pimenta,2025-02,Farinha Integral 25kg,Cancelado,PrimeFood,,,,"0,037"
Emanuella Costa,Luiz Gustavo da Paz,Oliveira da Praia,2025-02,Soja Extra 20kg,Cancelado,SmartAgro,,,,"0,573"
Henrique Cavalcanti,José Pedro Gomes,Freitas da Mata,2025-02,Adubo Orgânico 1L,Cancelado,NovaTech,,,,"0,013"
Anthony Mendes,Maria Vitória Araújo,Moreira da Mata,2025-02,Café Refinado 25kg,Cancelado,SmartAgro,,,,"0,174"
Dr. Renan da Cruz,Pedro Vargas,Barros,2025-02,Açúcar Premium 10kg,Cancelado,EcoLine,,,,"0,337"
Augusto Albuquerque,João Vargas,Novais Verde,2025-02,Produto Orgânico Extra 1kg,Aprovado,EcoLine,,,,"0,288"
Benício da Costa,Cecília Machado,Leão de da Cruz,2025-02,Produto Orgânico Premium 500g,Entregue,NovaTech,Pagamento à vista,CIF,até 30,"11235,208"
Henrique Brito,Gabrielly Pereira,Araújo Alegre,2025-02,Herbicida Tradicional 500g,Aprovado,AgroPlus,,,,"0,124"
Aylla Ribeiro,Isabel da Rocha,Pereira,2025-02,Óleo Vegetal Premium 5L,Entregue,AgroPlus,Prazo,CIF,mais que 180,"132178,912"
Laura Martins,Davi Costa,da Luz de Azevedo,2025-02,Fertilizante Integral 1L,Entregue,EcoLine,Prazo,CIF,mais que 180,"29297,417"
Ana Barbosa,Caleb Lima,Marques,2025-02,Produto Orgânico Select 25kg,Entregue,EcoLine,Pagamento parcelado,CIF,mais que 180,"8684,436"
Dr. Bryan Gonçalves,Maria Fernanda Sampaio,da Rosa Verde,2025-02,Feijão Extra 10kg,Entregue,PrimeFood,Pagamento parcelado,CIF,mais que 180,"9111,908"
Luiz Miguel da Rosa,Arthur Gabriel Campos,Peixoto,2025-02,Óleo Vegetal Orgânico 250ml,Entregue,SmartAgro,Pagamento parcelado,CIF,mais que 180,"8504,447"
Maria Laura Carvalho,Clarice Jesus,Duarte,2025-02,Semente Orgânico 1L,Aprovado,BlueFarm,,,,"332,416"
Rhavi Carvalho,Lívia Casa Grande,Araújo de da Mota,2025-02,Farinha Select 25kg,Aprovado,PrimeFood,,,,"0,051"
Maria Clara Farias,Alexia Alves,Câmara da Praia,2025-02,Fertilizante Refinado 500g,Entregue,AgroPlus,Prazo,CIF,até 30,"7330,774"
Sr. Marcelo Novais,Rafael Costa,Ramos,2025-02,Inseticida Refinado 10kg,Aprovado,VittaMais,,,,"0,25"
Srta. Maria Helena Pereira,Dom Costela,Souza de Guerra,2025-02,Açúcar Fortificado 25kg,Aprovado,NovaTech,,,,"0,231"
Ana Carolina Campos,Dr. Bruno Cavalcanti,Brito,2025-02,Café Premium 25kg,Aprovado,NovaTech,,,,"14,812"
Ian Ramos,Carolina Aragão,Camargo da Mata,2025-02,Café Integral 25kg,Aprovado,SkyMarket,,,,"0,01"
Bárbara Siqueira,Isabela Cassiano,Andrade dos Dourados,2025-02,Soja Extra 1kg,Aprovado,NovaTech,,,,"0,271"
Arthur Miguel Teixeira,Sra. Maria Fernanda Teixeira,Camargo do Amparo,2025-02,Fertilizante Natural 1kg,Aprovado,VittaMais,,,,"723,609"
Camila Caldeira,Augusto Mendonça,Novais,2025-02,Óleo Vegetal Orgânico 250ml,Aprovado,BlueFarm,,,,"103,212"
Zoe da Mata,José Pedro Sampaio,Teixeira,2025-02,Produto Orgânico Orgânico 1L,Aprovado,BlueFarm,,,,"133,304"
Luísa Alves,Ágatha da Cunha,Guerra Grande,2025-02,Feijão Orgânico 250ml,Entregue,BlueFarm,Prazo,CIF,até 30,"3018,554"
Erick da Mota,Sarah Nogueira,Farias,2025-02,Ração Select 10kg,Novo,SkyMarket,Prazo,CIF,mais que 180,"12520,437"
Bento Barros,Bruna Martins,Gomes,2025-02,Semente Orgânico 1L,Entregue,EcoLine,Pagamento à vista,CIF,até 30,"7171,409"
Caroline Marques,Rael Cunha,Fogaça,2025-02,Arroz Especial 250ml,Aprovado,TerraForte,,,,"0,259"
Srta. Ísis Jesus,Gael Aragão,Câmara,2025-02,Soja Orgânico 20kg,Aprovado,VittaMais,,,,"0,112"
Francisco Nogueira,André Azevedo,Duarte das Pedras,2025-02,Suplemento Select 500g,Aprovado,EcoLine,,,,"199,112"
Paulo Viana,Larissa Teixeira,Ribeiro,2025-02,Arroz Tradicional 25kg,Entregue,VittaMais,Pagamento à vista,CIF,até 30,"8127,597"
Pedro Gomes,Isabella da Cunha,Abreu,2025-02,Café Extra 500g,Entregue,AgroPlus,Pagamento à vista,CIF,até 30,"2390,47"
Heitor Moura,Maria Cecília Peixoto,Oliveira,2025-02,Farinha Tradicional 500g,Aprovado,AgroPlus,,,,"0,01"
Maria Eduarda Cirino,Sara Cardoso,Mendonça da Prata,2025-02,Feijão Extra 500g,Cancelado,TerraForte,,,,"0,306"
Agatha Ramos,Srta. Luana da Rosa,Rocha,2025-02,Semente Select 500g,Cancelado,AgroPlus,,,,"0,275"
Kevin Jesus,Yasmin da Mata,Azevedo da Mata,2025-02,Semente Natural 5L,Aprovado,AgroPlus,,,,"0,135"
Josué Costela,Pedro Miguel da Cruz,Novais de Santos,2025-02,Inseticida Integral 250ml,Entregue,AgroPlus,Barter,CIF,mais que 180,"5099,716"
Thiago Marques,João Miguel Santos,Ferreira,2025-02,Semente Natural 1L,Cancelado,EcoLine,,,,"0,459"
Guilherme Montenegro,Luigi Leão,Vasconcelos do Galho,2025-02,Milho Orgânico 25kg,Cancelado,SkyMarket,,,,"0,132"
Rafaela Cirino,Isabelly Gomes,Moura,2025-02,Farinha Extra 20kg,Aprovado,BioVida,,,,"0,432"
Gael Teixeira,Lucca Cavalcante,Ferreira Paulista,2025-02,Ração Extra 5L,Aprovado,TerraForte,,,,"0,068"
João Felipe Dias,Luiz Otávio Mendes,Pereira de Alves,2025-02,Adubo Fortificado 250ml,Entregue,SmartAgro,Prazo,CIF,até 30,"41809,784"
Dra. Sophie Cardoso,Maria Helena Albuquerque,Pires de Pacheco,2025-02,Milho Tradicional 500g,Entregue,BioVida,Intercooperação,CIF,de 31 à 60,"13002,28"
Elisa da Costa,Esther Melo,Novais de da Cunha,2025-02,Fertilizante Extra 10kg,Cancelado,AgroPlus,,,,"0,288"
Alana Moura,Raquel Souza,Silva,2025-02,Ração Premium 250ml,Entregue,BlueFarm,Prazo,CIF,mais que 180,"45192,064"
Clarice Brito,Ana Luiza Nogueira,Caldeira Grande,2025-04,Soja Refinado 5L,Entregue,NovaTech,Pagamento à vista,CIF,até 30,"10499,318"
Raul Lima,Leandro Porto,Pacheco de Carvalho,2025-02,Soja Integral 250ml,Cancelado,AgroPlus,,,,"1,029"
Esther Andrade,Dr. Otávio Pinto,Viana,2025-02,Arroz Select 20kg,Cancelado,SmartAgro,,,,"0,142"
Otávio Câmara,Sra. Lara Andrade,Freitas do Galho,2025-02,Óleo Vegetal Natural 20kg,Cancelado,BioVida,,,,"0,037"
Evelyn Sousa,Dra. Ana Luiza Alves,Costa Paulista,2025-02,Feijão Extra 1L,Cancelado,BioVida,,,,"0,646"
Sr. João Gabriel Cunha,Lavínia Melo,Gonçalves,2025-02,Farinha Select 25kg,Cancelado,AgroPlus,,,,"0,363"
Allana Aparecida,Isabelly da Rosa,Souza,2025-03,Ração Orgânico 1kg,Aprovado,PrimeFood,,,,"542,027"
Lorenzo Azevedo,Emilly Alves,Sá,2025-02,Milho Natural 1kg,Aprovado,EcoLine,,,,"0,052"
Stephany Rezende,Anthony Gabriel Dias,Rocha de Rezende,2025-02,Inseticida Select 5L,Entregue,BioVida,Pagamento parcelado,CIF,de 31 à 60,"4038,563"
Vinícius Correia,Sr. Gabriel Abreu,Fogaça,2025-02,Fertilizante Natural 1L,Aprovado,PrimeFood,,,,"0,29"
Lunna da Costa,Vitor Macedo,Sá,2025-04,Açúcar Refinado 1kg,A Entregar,NovaTech,Prazo,CIF,de 121 à 180,"5437,147"
Srta. Maria Julia Dias,Liz Fonseca,Cassiano de da Cruz,2025-04,Ração Refinado 500g,Entregue,SmartAgro,Prazo,CIF,mais que 180,"52707,513"
Sara Araújo,Yuri Alves,Peixoto de Albuquerque,2025-02,Café Extra 25kg,Entregue,SkyMarket,Prazo,CIF,até 30,"1473,654"
Josué Duarte,Nicole Albuquerque,Macedo,2025-02,Herbicida Premium 25kg,Entregue,AgroPlus,Prazo,CIF,até 30,"2574,583"
Bárbara Moraes,Benício Câmara,Aragão de Novaes,2025-02,Feijão Extra 250ml,Entregue,EcoLine,Prazo,CIF,de 61 à 120,"4619,7"
Sr. Renan Nascimento,Theodoro Campos,Azevedo da Serra,2025-02,Arroz Orgânico 5L,Entregue,SmartAgro,Prazo,CIF,até 30,"8099,474"
Vicente Machado,Dr. João Pacheco,Barbosa,2025-02,Inseticida Orgânico 5L,Entregue,VittaMais,Crédito Rural,CIF,de 31 à 60,"17399,807"
Sra. Sophie das Neves,João Pedro Camargo,Lima,2025-02,Adubo Orgânico 500g,Entregue,NovaTech,Prazo,CIF,de 31 à 60,"2460,778"
Dom Pimenta,Ana Carolina Gonçalves,Oliveira de Goiás,2025-02,Semente Tradicional 1L,Aprovado,SkyMarket,,,,"0,013"
Maria Laura Moraes,Dr. Isaque Moreira,Santos,2025-02,Suplemento Natural 500g,Aprovado,VittaMais,,,,"0,451"
Nina Ramos,Vitor Hugo Pinto,Garcia,2025-02,Óleo Vegetal Refinado 10kg,Aprovado,EcoLine,,,,"0,13"
Srta. Eloá Leão,Daniel Mendonça,Lima do Galho,2025-02,Óleo Vegetal Integral 1kg,Aprovado,EcoLine,,,,"1,01"
Evelyn Jesus,Allana Correia,Viana,2025-02,Suplemento Refinado 250ml,Aprovado,PrimeFood,,,,"0,139"
Ágatha Freitas,Ravi Melo,Marques de Goiás,2025-02,Óleo Vegetal Orgânico 1L,Aprovado,BlueFarm,,,,"0,037"
Sra. Maria Alice da Rocha,Clarice Leão,Lima do Amparo,2025-02,Suplemento Fortificado 500g,Aprovado,BioVida,,,,"0,634"
Isabella da Mata,Ana Sophia das Neves,Caldeira de Correia,2025-02,Milho Integral 1L,Aprovado,VittaMais,,,,"0,3"
Sr. Vinicius Viana,José Pedro Farias,Moura,2025-02,Soja Refinado 250ml,Aprovado,BioVida,,,,"0,357"
Júlia Nascimento,Igor Novaes,Gonçalves,2025-02,Café Premium 250ml,Aprovado,TerraForte,,,,"0,558"
Dra. Mariah Abreu,Isabelly Vieira,Vasconcelos,2025-02,Inseticida Integral 250ml,Aprovado,SkyMarket,,,,"0,391"
Luana Santos,Sra. Clara Peixoto,Viana,2025-02,Adubo Fortificado 10kg,Aprovado,SkyMarket,,,,"0,278"
Davi Luiz Costa,Catarina Vieira,Correia,2025-02,Soja Extra 500g,Aprovado,SmartAgro,,,,"0,563"
Srta. Anna Liz Cassiano,Rhavi Costa,Montenegro do Amparo,2025-02,Herbicida Orgânico 500g,Aprovado,SkyMarket,,,,"0,215"
Marcelo Pires,Bruno Pastor,Andrade dos Dourados,2025-02,Feijão Extra 250ml,Aprovado,SkyMarket,,,,"1,103"
Gustavo Henrique Moraes,Sr. Breno Pacheco,Duarte Alegre,2025-02,Semente Especial 20kg,Aprovado,EcoLine,,,,"1,006"
Sra. Antonella Pacheco,Liam Albuquerque,Dias,2025-02,Óleo Vegetal Especial 250ml,Aprovado,TerraForte,,,,"1,234"
Gael Henrique Novaes,João Miguel Jesus,Câmara,2025-02,Herbicida Integral 1L,Aprovado,BlueFarm,,,,"1,343"
Levi da Costa,Dr. Enzo Cunha,Borges,2025-02,Farinha Especial 10kg,Aprovado,SkyMarket,,,,"0,27"
Alice da Paz,José Miguel Pires,da Mota,2025-02,Soja Select 1L,Cancelado,PrimeFood,,,,"0,568"
Sr. Theodoro Rios,Ravy Souza,Aparecida,2025-02,Farinha Fortificado 1kg,Cancelado,NovaTech,,,,"0,398"
Felipe Nunes,Ian Pinto,da Rosa,2025-02,Milho Especial 20kg,Cancelado,EcoLine,,,,"0,283"
Maya Melo,Rafael da Rosa,Almeida dos Dourados,2025-02,Arroz Orgânico 250ml,Cancelado,EcoLine,,,,"0,574"
João Felipe Aragão,Pietra Almeida,da Mata do Campo,2025-02,Arroz Tradicional 1kg,Cancelado,SmartAgro,,,,"0,22"
Srta. Eduarda Almeida,Sra. Esther Cunha,da Cunha,2025-02,Semente Extra 25kg,Cancelado,BlueFarm,,,,"1,124"
Pietro Aparecida,Dr. Rafael Silva,Teixeira,2025-02,Ração Especial 5L,Cancelado,SmartAgro,,,,"1,025"
Srta. Lavínia Fonseca,Ísis Costa,Jesus,2025-02,Farinha Integral 25kg,Cancelado,EcoLine,,,,"1,257"
Miguel Correia,Isaque Rezende,da Cunha,2025-02,Açúcar Tradicional 10kg,Cancelado,BlueFarm,,,,"1,368"
Cauã Fogaça,Antônio Caldeira,Casa Grande,2025-04,Herbicida Orgânico 10kg,A Entregar,EcoLine,Prazo,CIF,mais que 180,"2161,547"
Vinicius Castro,Lucas Siqueira,Caldeira da Serra,2025-04,Produto Orgânico Refinado 20kg,A Entregar,SkyMarket,Prazo,CIF,mais que 180,"157792,936"
Catarina Gonçalves,Maria Helena Andrade,Souza,2025-02,Óleo Vegetal Orgânico 25kg,Entregue,SkyMarket,Crédito Rural,CIF,de 31 à 60,"5052,797"
Isabel Aparecida,Davi Lucca da Luz,Cavalcante,2025-02,Herbicida Fortificado 1kg,Entregue,BioVida,Prazo,CIF,até 30,"45212,688"
Mirella Monteiro,Heitor Pimenta,Rocha,2025-02,Arroz Refinado 25kg,Entregue,PrimeFood,Prazo,CIF,mais que 180,"11609,246"
Dr. Benjamin Brito,Sra. Stephany Câmara,Sousa Grande,2025-02,Milho Premium 1L,Aprovado,TerraForte,,,,"0,032"
Pedro Miguel Montenegro,Dr. Luiz Otávio Souza,Albuquerque Verde,2025-02,Soja Select 500g,Entregue,EcoLine,Prazo,CIF,até 30,"3043,49"
Laís Albuquerque,Olívia Costa,Vasconcelos de Dias,2025-02,Adubo Fortificado 1kg,Entregue,VittaMais,Prazo,CIF,até 30,"10874,293"
Sr. Henry das Neves,Pedro Lucas Guerra,Rodrigues,2025-02,Milho Fortificado 500g,Entregue,AgroPlus,Prazo,CIF,mais que 180,"12025,478"
Eloá Souza,Maria Cecília Almeida,Sá do Norte,2025-02,Herbicida Select 1L,Entregue,SkyMarket,Prazo,CIF,mais que 180,"16611,661"
Pedro Lucas Moreira,Lara Gomes,da Luz da Mata,2025-02,Suplemento Natural 10kg,Entregue,SkyMarket,Pagamento à vista,CIF,até 30,"12186,708"
Dra. Gabriela Moreira,Sr. Thomas Farias,da Luz,2025-02,Adubo Natural 10kg,Entregue,VittaMais,Pagamento à vista,CIF,até 30,"22341,049"
Maya Souza,Dra. Sophia Azevedo,Caldeira,2025-02,Adubo Natural 5L,Entregue,BlueFarm,Prazo,FOB,até 30,"47809,394"
Ana Carolina Leão,Dom Guerra,Mendes,2025-03,Adubo Orgânico 250ml,Entregue,BioVida,Pagamento parcelado,CIF,de 61 à 120,"3472,274"
Paulo Cavalcanti,Dr. André Correia,Santos,2025-02,Semente Tradicional 500g,Aprovado,SkyMarket,,,,"0,052"
Ravy Cavalcante,Dr. Benjamin Moraes,Farias de Ribeiro,2025-02,Açúcar Natural 500g,Aprovado,SkyMarket,,,,"0,073"
Arthur Freitas,Bruna Rios,Moraes,2025-02,Suplemento Fortificado 10kg,Aprovado,BioVida,,,,"0,073"
Heloisa Garcia,Liam Melo,Nogueira,2025-02,Soja Natural 1L,Aprovado,SkyMarket,,,,"0,287"
Dra. Ana Beatriz Silva,Dr. Arthur Fernandes,Mendes,2025-02,Milho Extra 1kg,Aprovado,SkyMarket,,,,"0,142"
Juliana Garcia,Dra. Alice Fonseca,Fonseca do Norte,2025-03,Adubo Especial 20kg,Entregue,NovaTech,Prazo,CIF,mais que 180,"3468,525"
Anthony Ramos,Hellena Costela,Vieira,2025-03,Adubo Refinado 1kg,Aprovado,NovaTech,,,,"5,911"
Srta. Eloá da Luz,Gael Camargo,Sá de Goiás,2025-03,Herbicida Extra 1kg,Aprovado,AgroPlus,,,,"0,47"
Allana Jesus,Maria Clara Rios,Gomes de Cardoso,2025-03,Feijão Refinado 25kg,Aprovado,NovaTech,,,,"4,025"
Dra. Larissa Novaes,Allana Melo,da Rosa,2025-02,Adubo Extra 5L,Aprovado,EcoLine,,,,"0,606"
Amanda Garcia,Pedro Miguel Nunes,Araújo Paulista,2025-02,Ração Fortificado 250ml,Aprovado,BlueFarm,,,,"4,307"
Emanuel Mendes,Valentim Monteiro,Garcia,2025-02,Fertilizante Refinado 5L,Aprovado,VittaMais,,,,"496,468"
Gabrielly Mendonça,Henry Almeida,Cunha,2025-02,Açúcar Tradicional 10kg,Aprovado,BioVida,,,,"0,579"
Matteo Vieira,Evelyn Vasconcelos,Farias do Galho,2025-02,Semente Fortificado 10kg,Aprovado,SmartAgro,,,,"206,33"
Evelyn Correia,Isabelly Lopes,Costela,2025-02,Açúcar Fortificado 250ml,Entregue,NovaTech,Prazo,CIF,até 30,"1856,129"
Enzo Mendonça,Luísa Oliveira,Martins,2025-02,Café Premium 25kg,Aprovado,BlueFarm,,,,"0,073"
Luiz Miguel Castro,Samuel Siqueira,Santos,2025-02,Fertilizante Select 500g,Aprovado,TerraForte,,,,"0,459"
Daniel Camargo,José Miguel Viana,Vasconcelos Grande,2025-04,Milho Fortificado 20kg,Entregue,VittaMais,Pagamento parcelado,CIF,de 61 à 120,"8867,424"
Srta. Maysa da Mata,Maysa Pacheco,Leão do Sul,2025-02,Inseticida Select 250ml,Entregue,VittaMais,Prazo,CIF,até 30,"3583,267"
Dr. Ravi Lucca Montenegro,José Miguel Dias,das Neves do Oeste,2025-02,Café Extra 250ml,Entregue,TerraForte,Crédito ICMS,CIF,até 30,"10383,825"
Enzo Brito,Hadassa Gomes,Casa Grande da Praia,2025-02,Feijão Tradicional 250ml,Entregue,AgroPlus,Prazo,CIF,de 31 à 60,"8765,056"
Ayla Pastor,Calebe Ferreira,Azevedo das Pedras,2025-04,Herbicida Fortificado 10kg,A Entregar,SmartAgro,Prazo,CIF,mais que 180,"420753,828"
